feature_set,metric,model_a,model_b,model_a_mean,model_b_mean,percent_change_a_vs_b,n_pairs,mean_difference_a_minus_b,median_difference_a_minus_b,sd_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_method,p_unadjusted,negative_difference_count,positive_difference_count,ties,p_holm,reject_holm_0_05
C_physical_quantity,rmse,Two-stage TL | training-selected,CatBoost,52853.82479307575,45513.98279456763,16.12656495397756,10,7339.841998508115,3348.305467213064,14464.722794418185,-698.1227420004444,16255.39673780736,12.0,exact,0.130859375,3,7,0,0.421875,False
C_physical_quantity,rmse_q3,Two-stage TL | training-selected,CatBoost,82918.04925325829,75536.80422079036,9.771720035829032,10,7381.245032467914,3711.761545508918,21922.69257613591,-5599.3708616293325,20620.38999775167,18.0,exact,0.375,4,6,0,0.75,False
C_physical_quantity,rmse_q3_iqr2,Two-stage TL | training-selected,CatBoost,97296.34655137287,91446.80733702722,6.396657668744167,10,5849.539214345657,-1544.0616736344236,27028.31692796057,-9441.124282383395,21982.513184549134,25.0,exact,0.845703125,6,4,0,1.0,False
C_physical_quantity,r2,Two-stage TL | training-selected,Monotonic GBM,0.7183437603595895,0.7270453493598397,-1.1968426739696376,10,-0.008701589000249943,0.03900272309516667,0.18902791210156256,-0.13550930151407065,0.08351592987898197,22.0,exact,0.625,4,6,0,0.625,False
C_physical_quantity,mape_pct,Two-stage TL | training-selected,Monotonic GBM,31.140302591075073,33.586924770766316,-7.284448327406132,10,-2.4466221796912477,-4.177961338452851,8.601236674369016,-6.928032855093922,3.038270252485019,16.0,exact,0.275390625,8,2,0,1.0,False
C_physical_quantity,rmse,Two-stage TL | training-selected,Monotonic GBM,52853.82479307575,54089.26328612872,-2.2840734334235253,10,-1235.4384930529827,-3707.2866889036777,14576.23822858783,-9099.223756601623,7921.284849999755,21.0,exact,0.556640625,6,4,0,0.556640625,False
C_physical_quantity,rmse_q3,Two-stage TL | training-selected,Monotonic GBM,82918.04925325829,84695.79822976695,-2.098981311547356,10,-1777.7489765086618,6125.374078889734,25191.3455468535,-17393.973275863955,12392.403035152194,26.0,exact,0.921875,4,6,0,0.921875,False
C_physical_quantity,rmse_q3_iqr2,Two-stage TL | training-selected,Monotonic GBM,97296.34655137287,100735.18000518845,-3.4137363467643143,10,-3438.8334538155664,4344.805825039541,31432.813355190377,-21898.37460708609,14632.705506465103,25.0,exact,0.845703125,4,6,0,1.0,False
C_physical_quantity,r2,Two-stage TL | training-selected,XGBoost,0.7183437603595895,0.8005934206175824,-10.273586834444018,10,-0.08224966025799296,-0.06433996312779255,0.17275011380655708,-0.19785017585206893,0.006456006146980209,13.0,exact,0.16015625,7,3,0,0.5234375,False
C_physical_quantity,mape_pct,Two-stage TL | training-selected,XGBoost,31.140302591075073,27.964194819036017,11.357765859494693,10,3.17610777203906,-0.06686940756895332,9.545621692938525,-1.92812811813578,9.231654309779149,24.0,exact,0.76953125,6,4,0,1.0,False
C_physical_quantity,rmse,Two-stage TL | training-selected,XGBoost,52853.82479307575,45648.84976910633,15.783475510144207,10,7204.9750239694085,8529.607429950342,12481.25374203652,399.88098591579376,14956.432297626352,11.0,exact,0.10546875,3,7,0,0.421875,False
C_physical_quantity,rmse_q3,Two-stage TL | training-selected,XGBoost,82918.04925325829,73869.61500256325,12.249196439403477,10,9048.434250695047,11741.23251977293,20582.306907680148,-3678.788111114627,20760.16961641543,14.0,exact,0.193359375,3,7,0,0.580078125,False
C_physical_quantity,rmse_q3_iqr2,Two-stage TL | training-selected,XGBoost,97296.34655137287,87865.1507703965,10.733716039048698,10,9431.195780976364,9077.646342468885,26345.92232653783,-5615.031914157873,24600.22693681364,18.0,exact,0.375,4,6,0,1.0,False
