analysis_label,metric,feature_set_a,feature_set_b,n_pairs,mean_difference_a_minus_b,median_difference_a_minus_b,sd_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_method,p_unadjusted,negative_difference_count,positive_difference_count,ties,p_holm,reject_holm_0_05
Two-stage TL | training-selected,mape_pct,B_no_component_costs,C_physical_quantity,10,1.4411359682790121,0.6928021301706195,2.3072001799964124,0.11347180366060598,2.8480782356735777,11.0,exact,0.10546875,2,8,0,0.10546875,False
Two-stage TL | training-selected,rmse,A_all_21,B_no_component_costs,10,-22950.842044327965,-20236.354663944785,9140.203804286777,-28634.96240016743,-18014.82514042812,0.0,exact,0.001953125,10,0,0,0.005859375,True
Two-stage TL | training-selected,rmse,A_all_21,C_physical_quantity,10,-24618.600866173205,-23791.611970903246,6836.161053998373,-28647.10958615999,-20628.96203605558,0.0,exact,0.001953125,10,0,0,0.005859375,True
Two-stage TL | training-selected,rmse,B_no_component_costs,C_physical_quantity,10,-1667.7588218452468,-2396.7411815421146,5139.154912829532,-4382.281027299172,1511.7172422951255,13.0,exact,0.16015625,7,3,0,0.16015625,False
Two-stage TL | training-selected,rmse_q3,A_all_21,B_no_component_costs,10,-29556.49906387988,-27881.036427476807,18553.588248337892,-40899.12371891834,-19270.348607023327,0.0,exact,0.001953125,10,0,0,0.005859375,True
Two-stage TL | training-selected,rmse_q3,A_all_21,C_physical_quantity,10,-35933.809728309425,-40665.89535731575,14992.579327833575,-44144.4139879891,-26424.876167996357,0.0,exact,0.001953125,10,0,0,0.005859375,True
Two-stage TL | training-selected,rmse_q3,B_no_component_costs,C_physical_quantity,10,-6377.31066442954,-8089.432066141686,11913.516915954538,-12967.874901226836,1031.8513536006637,11.0,exact,0.10546875,8,2,0,0.10546875,False
Two-stage TL | training-selected,rmse_q3_iqr2,A_all_21,B_no_component_costs,10,-34218.58120525627,-30692.07135297654,25112.195415779224,-49957.70608680168,-20373.075396182874,0.0,exact,0.001953125,10,0,0,0.005859375,True
Two-stage TL | training-selected,rmse_q3_iqr2,A_all_21,C_physical_quantity,10,-41488.32717616302,-44298.50992073647,20958.23087751379,-53508.86889986768,-28632.64094940152,0.0,exact,0.001953125,10,0,0,0.005859375,True
Two-stage TL | training-selected,rmse_q3_iqr2,B_no_component_costs,C_physical_quantity,10,-7269.745970906739,-8279.171490830911,13946.718074606595,-15234.55417174463,1149.6296780846396,12.0,exact,0.130859375,7,3,0,0.130859375,False
XGBoost,r2,A_all_21,B_no_component_costs,10,0.06997784140742125,0.0453707987807237,0.06496166419420603,0.035263555590405296,0.11152175956553098,0.0,exact,0.001953125,0,10,0,0.005859375,True
XGBoost,r2,A_all_21,C_physical_quantity,10,0.05712795241061077,0.03686662563925869,0.07630776349940604,0.016563226344844556,0.10448187443825163,8.0,exact,0.048828125,3,7,0,0.09765625,False
XGBoost,r2,B_no_component_costs,C_physical_quantity,10,-0.012849888996810476,-0.016286765284526383,0.03678958183971545,-0.034982796147157436,0.008178854416548849,18.0,exact,0.375,6,4,0,0.375,False
XGBoost,mape_pct,A_all_21,B_no_component_costs,10,-12.26299450262699,-12.087236857941686,3.3644928435852166,-14.254086437473097,-10.273500269243277,0.0,exact,0.001953125,10,0,0,0.005859375,True
XGBoost,mape_pct,A_all_21,C_physical_quantity,10,-11.716725928531602,-11.381578500471669,4.957212006443777,-14.885516504095541,-9.036870363544171,0.0,exact,0.001953125,10,0,0,0.005859375,True
XGBoost,mape_pct,B_no_component_costs,C_physical_quantity,10,0.5462685740953848,1.0563019845245645,2.4861897527371193,-1.0770291696481853,1.7961586074933493,12.0,exact,0.130859375,2,8,0,0.130859375,False
XGBoost,rmse,A_all_21,B_no_component_costs,10,-8111.842921693749,-5736.702069473846,6585.382389384105,-12212.80452789877,-4484.792324299705,0.0,exact,0.001953125,10,0,0,0.005859375,True
XGBoost,rmse,A_all_21,C_physical_quantity,10,-6407.124137322082,-4655.766487603367,8363.081224146454,-11429.089954047866,-1581.9522692467135,9.0,exact,0.064453125,7,3,0,0.12890625,False
XGBoost,rmse,B_no_component_costs,C_physical_quantity,10,1704.71878437167,2120.5825238353973,3981.773869141891,-656.5113140328295,4045.6533261127765,14.0,exact,0.193359375,4,6,0,0.193359375,False
XGBoost,rmse_q3,A_all_21,B_no_component_costs,10,-8263.667795597805,-2655.0134558827995,15406.266018525295,-18132.416567591925,-96.69318076477806,17.0,exact,0.322265625,5,5,0,0.966796875,False
XGBoost,rmse_q3,A_all_21,C_physical_quantity,10,-5553.38512868058,-4685.042597888001,18578.883342548233,-17148.966029824434,4734.657566782618,21.0,exact,0.556640625,6,4,0,0.966796875,False
XGBoost,rmse_q3,B_no_component_costs,C_physical_quantity,10,2710.2826669172255,2942.2083929714063,9499.484854588429,-3015.695808565267,7934.97074432221,19.0,exact,0.431640625,3,7,0,0.966796875,False
XGBoost,rmse_q3_iqr2,A_all_21,B_no_component_costs,10,-10068.920915075803,-4815.142819642184,19454.52406324226,-22479.44755883235,867.6220099946787,16.0,exact,0.275390625,6,4,0,0.826171875,False
