seed,split_id,feature_set,train_index_hash,test_index_hash,record_type,fold,cutoff_rule,transfer_strategy,fold_training_cutoff_value,base_epochs,high_epochs,frozen_layers,r2,mape_pct,rmse,rmse_q3,rmse_q3_iqr2,mae,median_ae,mean_error,underestimation_rate,n_rmse_q3,n_rmse_q3_iqr2,selection_rank,source_task
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,1.0,Mean,Aggressive,150922.28660822625,95.0,29.0,[],0.390542715112162,28.73091393602103,78182.4821374702,132085.60194375116,161271.70690934255,43317.696943796975,18667.76566354026,15395.510902058402,0.3265306122448979,22.0,14.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,1.0,Q3,Conservative,177471.4194,121.0,200.0,"[""dense_3"", ""dense_4""]",0.8443377512801854,15.112836318652043,39512.04138484699,76009.14254105874,91720.09551414516,22888.96154477596,13052.781674062093,1638.0944805587494,0.4285714285714285,22.0,14.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,1.0,Q3,Balanced,177471.4194,121.0,22.0,"[""dense_3""]",0.9314871095944666,12.797750064024418,26213.436716521544,42328.98636025793,48131.96212233244,16661.58086383668,9596.826388544196,1025.0757327386204,0.4591836734693877,22.0,14.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,1.0,Q3,Aggressive,177471.4194,121.0,1.0,[],0.2826109907314122,27.33062417070352,84823.30253741487,152805.55617953293,165342.01821303758,47459.04930527165,14076.212725978903,33076.51897699273,0.3979591836734694,22.0,14.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,1.0,Q3+IQR/2,Conservative,224330.7339,79.0,200.0,"[""dense_3"", ""dense_4""]",0.8777110395708654,13.8908890179394,35021.2339877795,69169.80923248724,83880.61195079533,19704.968618448183,9675.429744040805,1090.1044592557523,0.3673469387755102,22.0,14.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,1.0,Q3+IQR/2,Balanced,224330.7339,79.0,10.0,"[""dense_3""]",0.9008822408084494,13.651158963808427,31529.24386317099,61231.157132114095,73161.5506523058,18894.09266597624,9869.95537143523,773.0824223028889,0.3673469387755102,22.0,14.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,1.0,Q3+IQR/2,Aggressive,224330.7339,79.0,2.0,[],0.3600770173178474,16.536059298336,80112.75593516375,167064.4574689555,207917.02613216868,30734.09353067681,9869.95537143523,-20777.44828883173,0.4489795918367347,22.0,14.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,2.0,Mean,Conservative,152982.42352530613,199.0,200.0,"[""dense_3"", ""dense_4""]",0.5743737818742639,38.83135761109105,58571.023812751424,59127.554534462,61589.45160923882,27587.966950587437,13069.97939678609,-6023.641055802872,0.5463917525773195,18.0,16.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,2.0,Mean,Balanced,152982.42352530613,199.0,17.0,"[""dense_3""]",0.8946430467176595,17.76143743812954,29140.716847136096,48352.20550846552,51268.28124441591,17933.344925299672,8358.464575752543,-4484.603276575826,0.6185567010309279,18.0,16.0,,A_all_21_seed43
43,seed_43,A_all_21,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,fold,2.0,Mean,Aggressive,152982.42352530613,199.0,34.0,[],0.8033499523393258,25.49271296763581,39812.15235711948,50483.47202871941,52809.40091889902,20292.548295354405,9897.641823555226,-1416.1539008076725,0.6082474226804123,18.0,16.0,,A_all_21_seed43
